Show,Speaker 1,Speaker 2,Speaker 3,Speaker 4,Speaker 5
Yard 20 - base,Aiden,Slime,Nick,Ludwig,
Yard 27 - base,Aiden,Slime,Ludwig,Nick,
Yard 33 - base,Aiden,Ludwig,Asa,Slime,Nick
Yard 45 - base,Slime,Nick,Ludwig,Aiden,
Yard 53 - base,Aiden,Ludwig,Nick,Slime,
Yard 20 - transcript,Aiden,Slime (weak),Nick,Ludwig,
Yard 27 - transcript,Aiden,Slime by process of elimination,Ludwig,Nick,
Yard 33 - transcript,?,Ludwig,?,?,?
Yard 45 - transcript,Slime,Nick,Ludwig,Aiden,
Yard 53 - transcript,Aiden,Ludwig,Nick,Slime,
Yard 20 - GPT-3 No Hints,NA,NA,NA,NA,
Yard 27 - GPT-3 No Hints,NA,Nick,Ludwig,NA,
Yard 33 - GPT-3 No Hints,NA,TAZ (?),NA,NA,NA
Yard 45 - GPT-3 No Hints,NA,NA,NA,NA,
Yard 53 - GPT-3 No Hints,NA,NA,NA,NA,
Yard 20 - GPT-3 Hints,NA,Ludwig,Slime,Nick,
Yard 27 - GPT-3 Hints,NA,Aiden,Slime,Nick,
Yard 33 - GPT-3 Hints,NA,Nick,Asa,NA,Slime
Yard 45 - GPT-3 Hints,NA,Ludwig,Slime,Nick,
Yard 53 - GPT-3 Hints,Aiden,Ludwig,Slime,Nick,
Yard 20 - GPT-4 No Hints,Cody,Ludwig,Nick,Michael Bonthers,
Yard 27 - GPT-4 No Hints,Daniel,Ludwig,Nick,Amin,
Yard 33 - GPT-4 No Hints,NA,NA,NA,NA,NA
Yard 45 - GPT-4 No Hints,NA,NA,NA,NA,
Yard 53 - GPT-4 No Hints,NA,NA,NA,NA,
Yard 20 - GPT-4 Hints,Slime,Aiden,Nick,Ludwig,
Yard 27 - GPT-4 Hints,Aiden,Nick,Ludwig,Slime,
Yard 33 - GPT-4 Hints,Ludwig,Nick,Aiden,Slime,Asa
Yard 45 - GPT-4 Hints,Aiden,Slime,Ludwig,Nick,
Yard 53 - GPT-4 Hints,Nick,Ludwig,Slime,Aiden,
,,,,,
,,,,,
,,,,,
,,,,,
DHJ 5 - base,Hank,Maureen,,,
DHJ 70 - base,John,Ashley Ford,,,
DHJ 102 - base,John,Hank,,,
DHJ 117 - base,katherine,Hank,,,
DHJ 121 - base,John,Hank,,,
DHJ 5 - transcript,Hank,Maureen,,,
DHJ 70 - transcript,John,Ashley Ford,,,
DHJ 102 - transcript,John,Hank,,,
DHJ 117 - transcript,Katherine (Catherine),Hank,,,
DHJ 121 - transcript,John,Hank,,,
DHJ 5 - GPT-3 no hints,Hank,Maureen,,,
DHJ 70 - GPT-3 no hints,John,Ashley Ford,,,
DHJ 102 - GPT-3 no hints,Hank,John,,,
DHJ 117 - GPT-3 no hints,Hank,John,,,
DHJ 121 - GPT-3 no hints,NA,NA,,,
DHJ 5 - GPT-3 hints,Hank,Maureen,,,
DHJ 70 - GPT-3 hints,John,Ashley Ford,,,
DHJ 102 - GPT-3 hints,Hank,John,,,
DHJ 117 - GPT-3 hints,Hank,Katherine,,,
DHJ 121 - GPT-3 hints,Hank,John,,,
DHJ 5 - GPT-4 no hints,Hank,Maureen,,,
DHJ 70 - GPT-4 no hints,John,Ashley Ford,,,
DHJ 102 - GPT-4 no hints,Hank,John,,,
DHJ 117 - GPT-4 no hints,Hank,Catherine,,,
DHJ 121 - GPT-4 no hints,John,Hank,,,
DHJ 5 - GPT-4 hints,Hank,Maureen,,,
DHJ 70 - GPT-4 hints,John,Ashley Ford,,,
DHJ 102 - GPT-4 hints,John,Hank,,,
DHJ 117 - GPT-4 hints,Katherine,Hank,,,
DHJ 121 - GPT-4 hints,John,Hank,,,